product_code,fiscal_year,gross_price
A0118150101,2018,15.3952
A0118150101,2019,14.4392
A0118150101,2020,16.2323
A0118150101,2021,19.0573
A0118150102,2018,19.5875
A0118150102,2019,18.5595
A0118150102,2020,19.8577
A0118150102,2021,21.4565
A0118150103,2018,19.3630
A0118150103,2019,19.3442
A0118150103,2020,22.1317
A0118150103,2021,21.7795
A0118150103,2022,23.9920
A0118150104,2018,19.5743
A0118150104,2019,18.5072
A0118150104,2020,20.7734
A0118150104,2021,22.9729
A0118150104,2022,23.6298
A0219150201,2019,18.4663
A0219150201,2020,22.2298
A0219150201,2021,23.6987
A0219150201,2022,25.0286
A0219150202,2019,20.8223
A0219150202,2020,24.1562
A0219150202,2021,24.7312
A0219150202,2022,25.1517
A0220150203,2020,23.9193
A0220150203,2021,23.6154
A0220150203,2022,25.7806
A0320150301,2020,22.2856
A0320150301,2021,23.7223
A0320150301,2022,25.8169
A0321150302,2021,27.1027
A0321150302,2022,29.5075
A0321150303,2021,28.0059
A0321150303,2022,30.3060
A0418150101,2018,15.8753
A0418150101,2019,14.0555
A0418150101,2020,17.4708
A0418150102,2018,16.6281
A0418150102,2019,15.9880
A0418150102,2020,17.0422
A0418150103,2018,17.8449
A0418150103,2019,15.9345
A0418150103,2020,17.4436
A0418150103,2021,19.5235
A0418150103,2022,21.0913
A0418150104,2018,18.6457
A0418150104,2019,17.5027
A0418150104,2020,19.0484
A0418150104,2021,19.9239
A0418150104,2022,19.7359
A0418150105,2018,17.2477
A0418150105,2019,16.5258
A0418150105,2020,18.5592
A0418150105,2021,20.0766
A0418150105,2022,20.3467
A0418150106,2019,16.2819
A0418150106,2020,17.7022
A0418150106,2021,19.9365
A0418150106,2022,20.6451
A0418150107,2019,16.8610
A0418150107,2020,20.8163
A0418150108,2019,18.6088
A0418150108,2020,19.1964
A0519150201,2019,18.2247
A0519150201,2020,21.9777
A0519150201,2021,22.3984
A0519150202,2019,21.1953
A0519150202,2020,24.1658
A0519150202,2021,24.9298
A0519150203,2019,22.2916
A0519150203,2020,24.3127
A0519150203,2021,26.5871
A0519150204,2019,23.8492
A0519150204,2020,24.7823
A0519150204,2021,26.1081
A0519150204,2022,28.2055
A0519150205,2019,24.8906
A0519150205,2020,27.2201
A0519150205,2021,29.7008
A0519150205,2022,31.5446
A0519150206,2019,23.0202
A0519150206,2020,26.4794
A0519150206,2021,31.2439
A0519150206,2022,33.8465
A0519150207,2019,26.7138
A0519150207,2020,27.4563
A0519150207,2021,32.4427
A0519150207,2022,34.8698
A0519150208,2019,26.9675
A0519150208,2020,29.7525
A0519150208,2021,30.5816
A0519150208,2022,34.7322
A0619150301,2020,29.3716
A0619150301,2021,30.4696
A0619150301,2022,33.7441
A0619150302,2020,31.6222
A0619150302,2021,34.0973
A0619150302,2022,34.5601
A0620150303,2020,33.5635
A0620150303,2021,34.2412
A0620150303,2022,37.8311
A0620150304,2020,33.2821
A0620150304,2021,37.5826
A0620150304,2022,39.4286
A0620150305,2020,33.4988
A0620150305,2021,36.5679
A0620150305,2022,37.9687
A0620150306,2020,35.1332
A0620150306,2021,37.5278
A0620150306,2022,37.3796
A0621150307,2020,36.2515
A0621150307,2021,36.2434
A0621150307,2022,38.6782
A0621150308,2020,38.0905
A0621150308,2021,39.3990
A0621150308,2022,42.9439
A0721150401,2020,36.3186
A0721150401,2021,39.3377
A0721150401,2022,41.2631
A0721150402,2020,38.6769
A0721150402,2021,39.1465
A0721150402,2022,40.6203
A0721150403,2021,39.2990
A0721150403,2022,41.8341
A0721150404,2021,39.1215
A0721150404,2022,43.9853
A0821150501,2021,40.5013
A0821150501,2022,41.0043
A0821150502,2021,43.2966
A0821150502,2022,45.1451
A0821150503,2021,42.3841
A0821150503,2022,45.8139
A0821150504,2021,44.7044
A0821150504,2022,42.5859
A0921150601,2021,45.0813
A0921150601,2022,45.8043
A0921150602,2022,44.7021
A0921150603,2022,45.4109
A0921150604,2022,48.3644
A1018150101,2018,96.8184
A1018150101,2019,94.9405
A1018150101,2020,106.0210
A1018150101,2021,111.1036
A1018150102,2018,108.7179
A1018150102,2019,101.8855
A1018150102,2020,117.1501
A1018150102,2021,123.4797
A1018150103,2018,105.1661
A1018150103,2019,110.6881
A1018150103,2020,116.0312
A1018150103,2021,123.9315
A1118150201,2018,111.9039
A1118150201,2019,104.1366
A1118150201,2020,121.9321
A1118150201,2021,124.2640
A1118150201,2022,142.8914
A1118150202,2018,120.1266
A1118150202,2019,122.5077
A1118150202,2020,129.9138
A1118150202,2021,129.5836
A1118150202,2022,147.8293
A1119150203,2018,117.2387
A1119150203,2019,122.0329
A1119150203,2020,121.8916
A1119150203,2021,139.8962
A1119150203,2022,146.5723
A1219150301,2018,123.3768
A1219150301,2019,122.6817
A1219150301,2020,129.2191
A1219150301,2021,135.6822
A1219150301,2022,141.9565
A1219150302,2019,122.1600
A1219150302,2020,137.8678
A1219150302,2021,145.1474
A1219150302,2022,140.7789
A1219150303,2019,136.2612
A1219150303,2020,141.0602
A1219150303,2021,142.9402
A1219150303,2022,150.9005
A1319150401,2020,145.2439
A1319150401,2021,149.1034
A1319150401,2022,156.5414
A1320150402,2020,156.5957
A1320150402,2021,150.2450
A1320150402,2022,159.3139
A1320150403,2020,145.2111
A1320150403,2021,160.6912
A1320150403,2022,168.5425
A1420150501,2020,145.5416
A1420150501,2021,160.5082
A1420150501,2022,171.4928
A1420150502,2021,169.4999
A1420150502,2022,170.8394
A1421150503,2021,176.4389
A1421150503,2022,188.3908
A1521150601,2021,186.2917
A1521150601,2022,198.0408
A1521150602,2021,185.4599
A1521150602,2022,203.4725
A1521150603,2022,214.5357
A1618150101,2018,17.3839
A1618150101,2019,14.9883
A1618150101,2020,18.5376
A1618150101,2021,19.6485
A1618150102,2018,16.3342
A1618150102,2019,16.2230
A1618150102,2020,17.8567
A1618150102,2021,20.4629
A1618150103,2018,18.5921
A1618150103,2019,19.1862
A1618150103,2020,19.9124
A1618150103,2021,21.2017
A1618150104,2018,20.6645
A1618150104,2019,21.4835
A1618150104,2020,22.8704
A1618150104,2021,21.4489
A1718150201,2018,21.8214
A1718150201,2019,19.8474
A1718150201,2020,22.1241
A1718150201,2021,21.8879
A1718150201,2022,24.9538
A1718150202,2019,22.0701
A1718150202,2020,23.2801
A1718150202,2021,22.8957
A1718150202,2022,24.3068
A1718150203,2019,25.2552
A1718150203,2020,24.4640
A1718150203,2021,27.3445
A1718150203,2022,29.0228
A1718150204,2019,24.6806
A1718150204,2020,28.0623
A1718150204,2021,28.3991
A1718150204,2022,29.8349
A1819150301,2019,22.5942
A1819150301,2020,28.0857
A1819150301,2021,28.8615
A1819150301,2022,32.2040
A1819150302,2020,29.5991
A1819150302,2021,31.9525
A1819150302,2022,34.4159
A1819150303,2020,30.7387
A1819150303,2021,32.1924
A1819150303,2022,36.7018
A1819150304,2020,30.7681
A1819150304,2021,32.2612
A1819150304,2022,36.2416
A1919150401,2021,33.7609
A1919150401,2022,35.0443
A1919150402,2021,35.0256
A1919150402,2022,36.4676
A1919150403,2021,35.8350
A1919150403,2022,36.4030
A1920150404,2021,38.9780
A1920150404,2022,43.0455
A2020150501,2021,41.3696
A2020150501,2022,40.3751
A2020150502,2021,39.3932
A2020150502,2022,45.4600
A2021150503,2021,45.4377
A2021150503,2022,46.6534
A2021150504,2022,47.7179
A2118150101,2018,2.9296
A2118150101,2019,2.8445
A2118150101,2020,2.9168
A2118150101,2021,2.9434
A2118150102,2018,3.4647
A2118150102,2019,3.2449
A2118150102,2020,3.5117
A2118150102,2021,3.9998
A2118150103,2018,4.0085
A2118150103,2019,3.8312
A2118150103,2020,4.3084
A2118150103,2021,4.5295
A2118150103,2022,4.6403
A2118150104,2018,4.2797
A2118150104,2019,3.9465
A2118150104,2020,4.6297
A2118150104,2021,5.0459
A2118150104,2022,5.1760
A2118150105,2018,4.5476
A2118150105,2019,4.0626
A2118150105,2020,4.8381
A2118150105,2021,4.6904
A2118150105,2022,5.1024
A2118150106,2018,5.2606
A2118150106,2019,4.4551
A2118150106,2020,5.2675
A2118150106,2021,5.2542
A2118150106,2022,5.2654
A2218150201,2018,4.5834
A2218150201,2019,4.8317
A2218150201,2020,5.2821
A2218150201,2021,5.4383
A2218150201,2022,5.9230
A2218150202,2018,5.5054
A2218150202,2019,5.4559
A2218150202,2020,5.8735
A2218150202,2021,6.4054
A2218150202,2022,6.0820
A2219150203,2018,6.8091
A2219150203,2019,6.0767
A2219150203,2020,6.8560
A2219150203,2021,6.7301
A2219150203,2022,7.2943
A2219150204,2019,7.0268
A2219150204,2020,7.4345
A2219150204,2021,7.3526
A2219150204,2022,7.9548
A2219150205,2019,6.2861
A2219150205,2020,6.8929
A2219150205,2021,7.9813
A2219150205,2022,8.6264
A2219150206,2019,7.3991
A2219150206,2020,8.1310
A2219150206,2021,8.3193
A2219150206,2022,8.1969
A2319150301,2019,7.1904
A2319150301,2020,8.6406
A2319150301,2021,8.8044
A2319150301,2022,9.3066
A2319150302,2019,7.0667
A2319150302,2020,7.9085
A2319150302,2021,8.9901
A2319150302,2022,8.9542
A2319150303,2019,8.2639
A2319150303,2020,9.1892
A2319150303,2021,9.3977
A2319150303,2022,10.0782
A2319150304,2019,9.1125
A2319150304,2020,10.0752
A2319150304,2021,10.4573
A2319150304,2022,10.8591
A2319150305,2019,8.7256
A2319150305,2020,9.7363
A2319150305,2021,10.4370
A2319150305,2022,11.7032
A2319150306,2020,10.4922
A2319150306,2021,10.8659
A2319150306,2022,10.6167
A2419150401,2020,10.0514
A2419150401,2021,11.4829
A2419150401,2022,11.4238
A2419150402,2020,10.4117
A2419150402,2021,11.2819
A2419150402,2022,11.6039
A2419150403,2020,10.6763
A2419150403,2021,10.8925
A2419150403,2022,11.6938
A2419150404,2020,11.2117
A2419150404,2021,11.6332
A2419150404,2022,12.5879
A2419150405,2020,11.9431
A2419150405,2021,12.7423
A2419150405,2022,12.9904
A2420150406,2020,11.4307
A2420150406,2021,12.2979
A2420150406,2022,13.2622
A2520150501,2021,12.0689
A2520150501,2022,12.4056
A2520150502,2021,14.5267
A2520150502,2022,14.0283
A2520150503,2021,14.1682
A2520150503,2022,15.2483
A2520150504,2021,14.2800
A2520150504,2022,15.3015
A2520150505,2021,15.1762
A2520150505,2022,15.2526
A2520150506,2021,14.5677
A2520150506,2022,17.0339
A2620150601,2021,14.9013
A2620150601,2022,14.6964
A2620150602,2021,15.8102
A2620150602,2022,15.3198
A2620150603,2021,15.9792
A2620150603,2022,15.6962
A2620150604,2021,16.5491
A2620150604,2022,17.3022
A2620150605,2021,16.5882
A2620150605,2022,17.8088
A2620150606,2021,16.7850
A2620150606,2022,18.0671
A2720150701,2021,17.0917
A2720150701,2022,17.7052
A2721150702,2021,17.2368
A2721150702,2022,17.4468
A2721150703,2021,16.9353
A2721150703,2022,17.6996
A2721150704,2021,19.5860
A2721150704,2022,20.1341
A2721150705,2021,19.4042
A2721150705,2022,20.8537
A2721150706,2021,20.0537
A2721150706,2022,22.5748
A2821150801,2021,21.7118
A2821150801,2022,22.0898
A2821150802,2022,23.3804
A2821150803,2022,23.2131
A2821150804,2022,24.3225
A2821150805,2022,24.9778
A2821150806,2022,25.9617
A2918150101,2018,5.9563
A2918150101,2019,5.0926
A2918150101,2020,6.6247
A2918150101,2021,6.8991
A2918150102,2018,7.2936
A2918150102,2019,6.5369
A2918150102,2020,7.7183
A2918150102,2021,7.5979
A2918150103,2018,7.2694
A2918150103,2019,6.6802
A2918150103,2020,7.4447
A2918150103,2021,7.7693
A2918150104,2018,8.7910
A2918150104,2019,8.0339
