product_code,cost_year,manufacturing_cost
A0118150101,2018,4.6190
A0118150101,2019,4.2033
A0118150101,2020,5.0207
A0118150101,2021,5.5172
A0118150102,2018,5.6036
A0118150102,2019,5.3235
A0118150102,2020,5.7180
A0118150102,2021,6.2835
A0118150103,2018,5.9469
A0118150103,2019,5.5306
A0118150103,2020,6.3264
A0118150103,2021,6.5900
A0118150103,2022,7.1831
A0118150104,2018,5.8958
A0118150104,2019,5.4242
A0118150104,2020,6.4789
A0118150104,2021,6.8199
A0118150104,2022,7.3655
A0219150201,2019,5.7250
A0219150201,2020,6.4858
A0219150201,2021,7.0498
A0219150201,2022,7.5433
A0219150202,2019,6.2366
A0219150202,2020,7.0590
A0219150202,2021,7.2031
A0219150202,2022,7.2751
A0220150203,2020,7.0621
A0220150203,2021,7.3563
A0220150203,2022,7.4299
A0320150301,2020,6.8414
A0320150301,2021,7.3563
A0320150301,2022,7.7241
A0321150302,2021,7.8161
A0321150302,2022,8.4414
A0321150303,2021,8.4291
A0321150303,2022,9.1877
A0418150101,2018,4.7713
A0418150101,2019,4.3896
A0418150101,2020,5.0759
A0418150102,2018,5.0082
A0418150102,2019,4.6576
A0418150102,2020,5.2169
A0418150103,2018,5.2379
A0418150103,2019,4.8189
A0418150103,2020,5.3448
A0418150103,2021,5.7471
A0418150103,2022,6.0345
A0418150104,2018,5.3666
A0418150104,2019,5.3129
A0418150104,2020,5.6490
A0418150104,2021,5.8238
A0418150104,2022,5.9402
A0418150105,2018,5.0900
A0418150105,2019,4.7846
A0418150105,2020,5.3579
A0418150105,2021,5.8238
A0418150105,2022,5.9985
A0418150106,2019,4.9859
A0418150106,2020,5.2996
A0418150106,2021,5.8238
A0418150106,2022,6.3479
A0418150107,2019,4.8662
A0418150107,2020,6.0077
A0418150108,2019,5.3392
A0418150108,2020,5.9923
A0519150201,2019,5.6369
A0519150201,2020,6.3264
A0519150201,2021,6.5900
A0519150202,2019,6.1613
A0519150202,2020,7.3594
A0519150202,2021,7.5096
A0519150203,2019,6.4163
A0519150203,2020,7.1126
A0519150203,2021,7.8161
A0519150204,2019,7.0351
A0519150204,2020,7.7241
A0519150204,2021,8.0460
A0519150204,2022,8.3678
A0519150205,2019,7.7643
A0519150205,2020,8.3379
A0519150205,2021,8.9655
A0519150205,2022,9.3241
A0519150206,2019,7.1745
A0519150206,2020,8.2069
A0519150206,2021,9.1188
A0519150206,2022,9.9395
A0519150207,2019,7.6849
A0519150207,2020,8.5303
A0519150207,2021,9.2720
A0519150207,2022,10.1065
A0519150208,2019,7.7613
A0519150208,2020,8.6008
A0519150208,2021,9.3487
A0519150208,2022,10.2835
A0619150301,2020,8.9318
A0619150301,2021,9.5019
A0619150301,2022,10.3571
A0619150302,2020,9.3640
A0619150302,2021,9.9617
A0619150302,2022,10.2605
A0620150303,2020,10.3318
A0620150303,2021,10.6513
A0620150303,2022,11.3969
A0620150304,2020,10.3724
A0620150304,2021,10.8046
A0620150304,2022,11.8851
A0620150305,2020,10.0812
A0620150305,2021,10.9579
A0620150305,2022,11.6153
A0620150306,2020,10.4828
A0620150306,2021,11.0345
A0620150306,2022,11.4759
A0621150307,2020,10.7402
A0621150307,2021,11.1877
A0621150307,2022,11.6353
A0621150308,2020,11.0008
A0621150308,2021,11.3410
A0621150308,2022,12.3617
A0721150401,2020,10.8766
A0721150401,2021,11.5709
A0721150401,2022,12.2651
A0721150402,2020,11.6069
A0721150402,2021,11.7241
A0721150402,2022,12.6621
A0721150403,2021,11.9540
A0721150403,2022,12.1931
A0721150404,2021,12.1073
A0721150404,2022,12.8337
A0821150501,2021,12.4138
A0821150501,2022,12.6621
A0821150502,2021,12.7203
A0821150502,2022,13.6107
A0821150503,2021,12.8736
A0821150503,2022,13.9034
A0821150504,2021,12.8736
A0821150504,2022,13.0023
A0921150601,2021,13.3333
A0921150601,2022,14.2667
A0921150602,2022,13.9464
A0921150603,2022,14.0805
A0921150604,2022,14.4828
A1018150101,2018,28.3669
A1018150101,2019,27.5159
A1018150101,2020,31.5188
A1018150101,2021,34.6360
A1018150102,2018,32.1260
A1018150102,2019,30.5197
A1018150102,2020,34.9195
A1018150102,2021,35.6322
A1018150103,2018,32.7768
A1018150103,2019,31.7935
A1018150103,2020,34.8690
A1018150103,2021,36.3218
A1118150201,2018,33.2666
A1118150201,2019,29.9400
A1118150201,2020,36.1594
A1118150201,2021,38.4674
A1118150201,2022,41.1601
A1118150202,2018,36.5419
A1118150202,2019,36.1764
A1118150202,2020,38.8743
A1118150202,2021,40.0766
A1118150202,2022,43.6835
A1119150203,2018,35.9049
A1119150203,2019,35.1868
A1119150203,2020,37.7946
A1119150203,2021,41.5326
A1119150203,2022,42.3632
A1219150301,2018,37.1071
A1219150301,2019,36.3649
A1219150301,2020,37.8644
A1219150301,2021,41.6092
A1219150301,2022,43.6897
A1219150302,2019,35.1690
A1219150302,2020,40.2391
A1219150302,2021,41.9157
A1219150302,2022,43.1732
A1219150303,2019,39.2582
A1219150303,2020,40.8812
A1219150303,2021,42.1456
A1219150303,2022,46.3601
A1319150401,2020,43.0368
A1319150401,2021,44.3678
A1319150401,2022,46.5862
A1320150402,2020,45.0621
A1320150402,2021,45.5172
A1320150402,2022,45.9724
A1320150403,2020,42.5103
A1320150403,2021,46.2069
A1320150403,2022,49.9034
A1420150501,2020,43.9908
A1420150501,2021,47.8161
A1420150501,2022,52.1195
A1420150502,2021,50.7280
A1420150502,2022,52.7571
A1421150503,2021,54.0230
A1421150503,2022,55.1034
A1521150601,2021,54.2529
A1521150601,2022,59.1356
A1521150602,2021,57.2414
A1521150602,2022,59.5310
A1521150603,2022,63.6751
A1618150101,2018,5.0317
A1618150101,2019,4.6795
A1618150101,2020,5.5908
A1618150101,2021,5.8238
A1618150102,2018,4.9935
A1618150102,2019,4.8437
A1618150102,2020,5.4874
A1618150102,2021,5.9004
A1618150103,2018,5.7546
A1618150103,2019,5.5244
A1618150103,2020,6.0575
A1618150103,2021,6.5134
A1618150104,2018,6.2700
A1618150104,2019,6.2073
A1618150104,2020,6.6000
A1618150104,2021,6.6667
A1718150201,2018,6.4102
A1718150201,2019,6.0897
A1718150201,2020,6.5410
A1718150201,2021,6.7433
A1718150201,2022,7.3502
A1718150202,2019,6.3644
A1718150202,2020,6.9088
A1718150202,2021,7.0498
A1718150202,2022,7.2613
A1718150203,2019,7.3512
A1718150203,2020,7.5770
A1718150203,2021,7.8927
A1718150203,2022,8.3663
A1718150204,2019,7.5041
A1718150204,2020,8.4966
A1718150204,2021,8.5824
A1718150204,2022,8.6682
A1819150301,2019,7.0398
A1819150301,2020,8.4107
A1819150301,2021,8.5824
A1819150301,2022,9.2690
A1819150302,2020,9.0996
A1819150302,2021,9.5785
A1819150302,2022,10.3448
A1819150303,2020,9.0506
A1819150303,2021,9.7318
A1819150303,2022,10.5103
A1819150304,2020,8.8276
A1819150304,2021,9.8084
A1819150304,2022,10.6912
A1919150401,2021,9.8084
A1919150401,2022,10.3969
A1919150402,2021,10.1149
A1919150402,2022,10.8230
A1919150403,2021,10.5747
A1919150403,2022,10.6805
A1920150404,2021,11.4176
A1920150404,2022,12.5594
A2020150501,2021,11.9540
A2020150501,2022,12.3126
A2020150502,2021,11.9540
A2020150502,2022,13.0299
A2021150503,2021,13.1801
A2021150503,2022,13.7073
A2021150504,2022,14.5333
A2118150101,2018,0.8741
A2118150101,2019,0.8654
A2118150101,2020,0.8920
A2118150101,2021,0.9195
A2118150102,2018,1.0041
A2118150102,2019,0.9539
A2118150102,2020,1.0460
A2118150102,2021,1.1494
A2118150103,2018,1.2381
A2118150103,2019,1.1266
A2118150103,2020,1.2506
A2118150103,2021,1.3027
A2118150103,2022,1.3678
A2118150104,2018,1.2587
A2118150104,2019,1.1580
A2118150104,2020,1.3249
A2118150104,2021,1.4559
A2118150104,2022,1.6015
A2118150105,2018,1.3275
A2118150105,2019,1.2479
A2118150105,2020,1.4123
A2118150105,2021,1.4559
A2118150105,2022,1.5579
A2118150106,2018,1.5139
A2118150106,2019,1.3777
A2118150106,2020,1.5448
A2118150106,2021,1.6092
A2118150106,2022,1.6253
A2218150201,2018,1.4262
A2218150201,2019,1.3834
A2218150201,2020,1.5847
A2218150201,2021,1.6858
A2218150201,2022,1.8207
A2218150202,2018,1.6949
A2218150202,2019,1.6610
A2218150202,2020,1.7655
A2218150202,2021,1.8391
A2218150202,2022,1.8759
A2219150203,2018,2.0278
A2219150203,2019,1.8453
A2219150203,2020,2.0483
A2219150203,2021,2.0690
A2219150203,2022,2.1931
A2219150204,2019,2.0266
A2219150204,2020,2.2000
A2219150204,2021,2.2222
A2219150204,2022,2.4222
