customer_code,fiscal_year,pre_invoice_discount_pct
70002017,2018,0.0824
70002017,2019,0.0777
70002017,2020,0.0735
70002017,2021,0.0703
70002017,2022,0.1057
70002018,2018,0.2956
70002018,2019,0.2577
70002018,2020,0.2255
70002018,2021,0.2061
70002018,2022,0.2931
70003181,2018,0.0536
70003181,2019,0.0546
70003181,2020,0.0531
70003181,2021,0.0974
70003181,2022,0.0727
70003182,2018,0.2378
70003182,2019,0.2023
70003182,2020,0.1823
70003182,2021,0.2065
70003182,2022,0.2147
70004069,2018,0.0547
70004069,2019,0.0997
70004069,2020,0.0576
70004069,2021,0.1068
70004069,2022,0.0895
70004070,2018,0.3033
70004070,2019,0.2526
70004070,2020,0.2054
70004070,2021,0.2612
70004070,2022,0.2192
70005163,2018,0.3098
70005163,2019,0.2370
70005163,2020,0.2578
70005163,2021,0.2471
70005163,2022,0.2949
70006157,2018,0.1057
70006157,2019,0.0972
70006157,2020,0.0765
70006157,2021,0.0858
70006157,2022,0.0552
70006158,2018,0.1875
70006158,2019,0.1962
70006158,2020,0.2391
70006158,2021,0.2450
70006158,2022,0.2091
70007198,2018,0.0700
70007198,2019,0.0534
70007198,2020,0.0703
70007198,2021,0.0736
70007198,2022,0.0977
70007199,2018,0.2551
70007199,2019,0.1824
70007199,2020,0.2123
70007199,2021,0.2105
70007199,2022,0.2057
70008169,2018,0.0953
70008169,2019,0.0748
70008169,2020,0.0975
70008169,2021,0.0793
70008169,2022,0.0832
70008170,2018,0.1896
70008170,2019,0.2037
70008170,2020,0.2207
70008170,2021,0.1817
70008170,2022,0.2165
70009133,2018,0.0639
70009133,2019,0.0915
70009133,2020,0.1086
70009133,2021,0.0961
70009133,2022,0.1094
70009134,2018,0.3096
70009134,2019,0.2486
70009134,2020,0.2029
70009134,2021,0.2899
70009134,2022,0.3076
70010047,2018,0.0738
70010047,2019,0.0718
70010047,2020,0.0804
70010047,2021,0.0552
70010047,2022,0.1006
70010048,2018,0.2140
70010048,2019,0.2118
70010048,2020,0.2129
70010048,2021,0.2205
70010048,2022,0.2717
70011193,2018,0.0521
70011193,2019,0.0634
70011193,2020,0.0643
70011193,2021,0.1056
70011193,2022,0.0510
70011194,2018,0.2046
70011194,2019,0.1941
70011194,2020,0.1917
70011194,2021,0.1859
70011194,2022,0.2609
70012042,2018,0.0984
70012042,2019,0.0584
70012042,2020,0.0987
70012042,2021,0.0936
70012042,2022,0.0763
70012043,2018,0.2620
70012043,2019,0.2273
70012043,2020,0.1973
70012043,2021,0.2287
70012043,2022,0.2169
70013125,2018,0.0587
70013125,2019,0.0525
70013125,2020,0.0830
70013125,2021,0.1041
70013125,2022,0.0738
70013126,2018,0.2501
70013126,2019,0.2373
70013126,2020,0.2396
70013126,2021,0.2873
70013126,2022,0.2524
70014142,2018,0.0517
70014142,2019,0.0549
70014142,2020,0.0577
70014142,2021,0.0962
70014142,2022,0.0847
70014143,2018,0.2620
70014143,2019,0.2751
70014143,2020,0.1984
70014143,2021,0.2674
70014143,2022,0.2350
70015151,2018,0.0998
70015151,2019,0.0894
70015151,2020,0.0860
70015151,2021,0.0679
70015151,2022,0.0574
70015152,2018,0.2181
70015152,2019,0.2100
70015152,2020,0.1805
70015152,2021,0.2488
70015152,2022,0.2573
70016177,2018,0.0856
70016177,2019,0.0785
70016177,2020,0.1003
70016177,2021,0.1094
70016177,2022,0.0594
70016178,2018,0.1937
70016178,2019,0.2005
70016178,2020,0.3047
70016178,2021,0.2623
70016178,2022,0.2951
70017060,2018,0.2578
70017060,2019,0.2179
70017060,2020,0.1994
70017060,2021,0.1817
70017060,2022,0.2959
70018115,2018,0.2570
70018115,2019,0.2283
70018115,2020,0.2880
70018115,2021,0.2219
70018115,2022,0.2885
70019204,2018,0.3012
70019204,2019,0.2087
70019204,2020,0.1867
70019204,2021,0.2561
70019204,2022,0.2581
70020104,2018,0.2670
70020104,2019,0.2096
70020104,2020,0.2574
70020104,2021,0.2826
70020104,2022,0.3010
70021096,2018,0.1956
70021096,2019,0.1842
70021096,2020,0.3051
70021096,2021,0.2865
70021096,2022,0.1954
70022084,2018,0.0589
70022084,2019,0.0625
70022084,2020,0.0728
70022084,2021,0.0849
70022084,2022,0.0847
70022085,2018,0.2025
70022085,2019,0.2669
70022085,2020,0.3059
70022085,2021,0.1876
70022085,2022,0.1816
70023031,2018,0.1008
70023031,2019,0.0774
70023031,2020,0.0548
70023031,2021,0.0809
70023031,2022,0.0671
70023032,2018,0.2999
70023032,2019,0.2911
70023032,2020,0.3066
70023032,2021,0.2779
70023032,2022,0.2378
70026206,2018,0.1972
70026206,2019,0.2924
70026206,2020,0.2328
70026206,2021,0.3043
70026206,2022,0.2465
70027208,2018,0.1896
70027208,2019,0.1981
70027208,2020,0.2423
70027208,2021,0.2791
70027208,2022,0.2947
80001019,2018,0.2815
80001019,2019,0.1832
80001019,2020,0.2151
80001019,2021,0.2485
80001019,2022,0.1893
80006154,2018,0.2728
80006154,2019,0.2101
80006154,2020,0.2346
80006154,2021,0.2103
80006154,2022,0.2307
80006155,2018,0.2797
80006155,2019,0.2565
80006155,2020,0.2862
80006155,2021,0.3091
80006155,2022,0.2939
80007195,2018,0.2990
80007195,2019,0.2557
80007195,2020,0.2390
80007195,2021,0.2617
80007195,2022,0.2929
80007196,2018,0.2231
80007196,2019,0.1920
80007196,2020,0.2680
80007196,2021,0.2819
80007196,2022,0.2822
90001020,2018,0.2254
90001020,2019,0.2852
90001020,2020,0.2504
90001020,2021,0.1965
90001020,2022,0.2729
90001021,2018,0.2798
90001021,2019,0.1912
90001021,2020,0.1962
90001021,2021,0.3095
90001021,2022,0.2349
90002001,2018,0.2490
90002001,2019,0.2247
90002001,2020,0.1894
90002001,2021,0.2119
90002001,2022,0.1964
90002002,2018,0.2005
90002002,2019,0.1878
90002002,2020,0.1860
90002002,2021,0.3025
90002002,2022,0.1828
90002003,2018,0.2831
90002003,2019,0.2851
90002003,2020,0.2611
90002003,2021,0.3028
90002003,2022,0.2867
90002004,2018,0.2103
90002004,2019,0.2286
90002004,2020,0.2870
90002004,2021,0.2753
90002004,2022,0.2102
90002005,2018,0.2121
90002005,2019,0.2610
90002005,2020,0.2350
90002005,2021,0.2702
90002005,2022,0.2473
90002006,2018,0.2923
90002006,2019,0.2695
90002006,2020,0.2398
90002006,2021,0.3038
90002006,2022,0.2841
90002007,2018,0.2265
90002007,2019,0.3035
90002007,2020,0.2620
90002007,2021,0.2508
90002007,2022,0.2599
90002008,2018,0.2385
90002008,2019,0.1862
90002008,2020,0.2000
90002008,2021,0.2207
90002008,2022,0.2912
90002009,2018,0.2156
90002009,2019,0.2910
90002009,2020,0.2826
90002009,2021,0.3083
90002009,2022,0.1895
90002010,2018,0.2242
90002010,2019,0.1832
90002010,2020,0.2076
90002010,2021,0.2259
90002010,2022,0.2714
90002011,2018,0.2902
90002011,2019,0.3077
90002011,2020,0.2656
90002011,2021,0.2793
90002011,2022,0.1945
90002012,2018,0.2329
90002012,2019,0.2004
90002012,2020,0.2572
90002012,2021,0.1957
90002012,2022,0.2639
90002013,2018,0.2644
90002013,2019,0.2436
90002013,2020,0.2885
90002013,2021,0.2253
90002013,2022,0.2022
90002014,2018,0.2971
90002014,2019,0.2704
90002014,2020,0.2654
90002014,2021,0.2057
90002014,2022,0.2648
90002015,2018,0.2860
90002015,2019,0.2504
90002015,2020,0.2227
90002015,2021,0.2004
90002015,2022,0.2156
90002016,2018,0.2134
90002016,2019,0.2290
90002016,2020,0.1876
90002016,2021,0.2933
90002016,2022,0.3022
90003179,2018,0.2193
90003179,2019,0.2229
90003179,2020,0.2400
90003179,2021,0.2455
90003179,2022,0.2730
90003180,2018,0.1809
90003180,2019,0.1942
90003180,2020,0.2445
90003180,2021,0.2342
90003180,2022,0.2437
90004061,2018,0.2690
90004061,2019,0.2324
90004061,2020,0.2354
90004061,2021,0.2788
90004061,2022,0.2660
90004062,2018,0.2066
90004062,2019,0.2325
90004062,2020,0.2867
90004062,2021,0.2863
90004062,2022,0.2045
90004063,2018,0.2754
90004063,2019,0.2809
90004063,2020,0.2946
90004063,2021,0.2676
90004063,2022,0.2748
90004064,2018,0.1995
90004064,2019,0.2521
